               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.028519,            0.016646,                   0,             0.61966,             0.52191,             0.46175,             0.20189,            0.054034,            0.022032,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.02842,             0.01655,                   0,             0.57992,             0.50996,             0.45714,             0.19568,             0.05446,            0.023016,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.027728,            0.016291,                   0,             0.57315,             0.54582,             0.46561,             0.20446,            0.054531,            0.022664,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.027709,             0.01616,                   0,             0.55827,             0.49402,             0.43279,             0.18357,            0.055135,            0.023167,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.027262,            0.016205,                   0,             0.55997,             0.51793,             0.43743,             0.18716,            0.054894,            0.022947,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.027302,             0.01615,                   0,             0.59937,             0.54836,             0.47199,             0.19673,            0.053928,             0.02299,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.027226,             0.01631,                   0,             0.56146,             0.51394,             0.43702,             0.18731,            0.054014,            0.023411,                   0,            0.002179,            0.002179,            0.002179
                  81,             0.02708,            0.015942,                   0,             0.64854,             0.49004,             0.47546,             0.19672,            0.054024,            0.022851,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.026967,            0.016067,                   0,             0.58269,              0.5259,             0.46813,             0.19689,            0.054594,            0.022821,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.026981,            0.015775,                   0,             0.66035,             0.52988,             0.48055,             0.19678,            0.053655,            0.023275,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.026679,            0.015571,                   0,              0.5893,             0.53785,             0.48545,             0.20598,            0.054091,            0.022862,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.026644,            0.015899,                   0,             0.57026,             0.53386,              0.4555,             0.19469,            0.054109,            0.023212,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.026232,            0.015518,                   0,             0.57358,             0.54183,             0.47913,             0.20253,            0.053461,             0.02341,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.026215,             0.01542,                   0,             0.59422,             0.52988,             0.47813,             0.19916,            0.053986,            0.023772,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.025973,            0.015429,                   0,             0.57196,             0.54183,               0.477,             0.20471,            0.053726,            0.023691,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.025602,            0.015382,                   0,              0.6118,             0.51394,             0.46281,             0.19555,            0.054743,            0.023944,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.025548,            0.015178,                   0,             0.55047,              0.5269,             0.45766,             0.19708,            0.054373,            0.024431,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.025317,            0.015203,                   0,             0.60816,             0.47809,             0.44343,             0.19491,            0.054408,            0.024367,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.025372,            0.015434,                   0,             0.57512,             0.53386,             0.46395,             0.19412,             0.05444,            0.024319,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.025128,            0.014975,                   0,             0.57532,             0.51793,             0.44489,             0.19341,            0.054451,            0.024267,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.025181,             0.01474,                   0,             0.56549,             0.50199,             0.43932,             0.18661,            0.054516,            0.024496,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.025048,            0.014872,                   0,             0.55385,             0.56876,             0.47889,             0.19938,            0.053838,            0.024186,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.024804,            0.014981,                   0,             0.60783,             0.50598,             0.46804,             0.19453,            0.054268,            0.024264,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.024627,             0.01487,                   0,             0.60216,             0.50996,             0.47669,              0.1981,            0.054538,             0.02448,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.024467,            0.014937,                   0,             0.60643,             0.50598,             0.46568,             0.19751,            0.054373,            0.024362,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.024255,            0.014872,                   0,             0.59295,             0.51793,             0.46599,             0.19519,            0.054305,            0.024435,                   0,            0.000298,            0.000298,            0.000298
